,ISO Code,Region Name,Uncertainity bounds,1990.5,1995.5,2000.5,2005.5,2010.5,2015.5
286,,Lesotho,Median,4737.0,5652.0,6909.0,6575.0,5680.0,5570.0
287,,Lesotho,Upper,5211.0,6197.0,7507.0,7202.0,6520.0,7205.0
288,LBR,Liberia,Lower,21083.0,18430.0,19861.0,14380.0,11157.0,8033.0
289,,Liberia,Median,23307.0,20306.0,21700.0,15861.0,12697.0,10509.0
290,,Liberia,Upper,25874.0,22418.0,23805.0,17451.0,14496.0,13971.0
291,LBY,Libya,Lower,4782.0,3090.0,3163.0,2844.0,2115.0,1199.0
292,,Libya,Median,5601.0,3509.0,3351.0,2901.0,2378.0,1684.0
293,,Libya,Upper,6540.0,3989.0,3547.0,2963.0,2674.0,2325.0
294,LIE,Liechtenstein,Lower,,,,,,
295,,Liechtenstein,Median,,,,,,
296,,Liechtenstein,Upper,,,,,,
297,LTU,Lithuania,Lower,919.0,689.0,397.0,285.0,203.0,138.0
298,,Lithuania,Median,954.0,724.0,419.0,299.0,215.0,164.0
299,,Lithuania,Upper,993.0,758.0,442.0,317.0,227.0,196.0
300,LUX,Luxembourg,Lower,39.0,33.0,24.0,17.0,12.0,9.0
301,,Luxembourg,Median,42.0,36.0,26.0,19.0,14.0,13.0
302,,Luxembourg,Upper,45.0,39.0,29.0,21.0,17.0,17.0
303,MDG,Madagascar,Lower,75747.0,71280.0,62894.0,47023.0,33613.0,25700.0
304,,Madagascar,Median,81636.0,76797.0,69116.0,53526.0,43647.0,40075.0
305,,Madagascar,Upper,87978.0,83183.0,76001.0,60476.0,55909.0,61247.0
306,MWI,Malawi,Lower,98907.0,82726.0,76930.0,54054.0,46235.0,29199.0
307,,Malawi,Median,105576.0,88431.0,82502.0,59020.0,53219.0,40048.0
308,,Malawi,Upper,113045.0,94455.0,88487.0,64366.0,61556.0,57688.0
309,MYS,Malaysia,Lower,8053.0,7226.0,5515.0,3921.0,3391.0,3385.0
310,,Malaysia,Median,8267.0,7345.0,5648.0,4023.0,3484.0,3793.0
311,,Malaysia,Upper,8484.0,7507.0,5732.0,4075.0,3547.0,4279.0
312,MDV,Maldives,Lower,768.0,505.0,252.0,131.0,86.0,55.0
313,,Maldives,Median,851.0,561.0,281.0,143.0,93.0,67.0
314,,Maldives,Upper,938.0,620.0,311.0,155.0,99.0,82.0
315,MLI,Mali,Lower,91010.0,97607.0,100482.0,87173.0,69109.0,51916.0
316,,Mali,Median,98211.0,105448.0,109556.0,98396.0,90659.0,82710.0
317,,Mali,Upper,105852.0,113890.0,119665.0,111258.0,117787.0,131056.0
318,MLT,Malta,Lower,66.0,44.0,34.0,22.0,23.0,19.0
319,,Malta,Median,70.0,47.0,37.0,24.0,26.0,24.0
320,,Malta,Upper,75.0,51.0,40.0,26.0,29.0,30.0
321,MHL,Marshall Islands,Lower,85.0,72.0,74.0,65.0,51.0,35.0
322,,Marshall Islands,Median,101.0,84.0,88.0,76.0,62.0,49.0
323,,Marshall Islands,Upper,120.0,98.0,103.0,89.0,76.0,70.0
324,MRT,Mauritania,Lower,8311.0,9054.0,9994.0,9919.0,8216.0,6372.0
325,,Mauritania,Median,9285.0,10008.0,11279.0,12253.0,11915.0,11050.0
326,,Mauritania,Upper,10339.0,11041.0,12733.0,15398.0,17651.0,19331.0
327,MUS,Mauritius,Lower,435.0,529.0,307.0,301.0,208.0,145.0
328,,Mauritius,Median,453.0,551.0,322.0,317.0,221.0,192.0
329,,Mauritius,Upper,471.0,575.0,337.0,335.0,235.0,254.0
330,MEX,Mexico,Lower,104570.0,78404.0,59539.0,45344.0,38741.0,27668.0
